,name,url,promoted_content,query,tweet_volume,location,country,as_of,created_at
0,#PresidentRuleInBengal,http://twitter.com/search?q=%23PresidentRuleInBengal,,%23PresidentRuleInBengal,79150.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
1,#2ndTasteOfButter,http://twitter.com/search?q=%232ndTasteOfButter,,%232ndTasteOfButter,675957.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
2,#नींद_से_जागो_अमित_शाह_जी,http://twitter.com/search?q=%23%E0%A4%A8%E0%A5%80%E0%A4%82%E0%A4%A6_%E0%A4%B8%E0%A5%87_%E0%A4%9C%E0%A4%BE%E0%A4%97%E0%A5%8B_%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%A4_%E0%A4%B6%E0%A4%BE%E0%A4%B9_%E0%A4%9C%E0%A5%80,,%23%E0%A4%A8%E0%A5%80%E0%A4%82%E0%A4%A6_%E0%A4%B8%E0%A5%87_%E0%A4%9C%E0%A4%BE%E0%A4%97%E0%A5%8B_%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%A4_%E0%A4%B6%E0%A4%BE%E0%A4%B9_%E0%A4%9C%E0%A5%80,158736.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
3,#BengalViolence,http://twitter.com/search?q=%23BengalViolence,,%23BengalViolence,14459.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
4,Sushant Hope Of Humanity,http://twitter.com/search?q=%22Sushant+Hope+Of+Humanity%22,,%22Sushant+Hope+Of+Humanity%22,19798.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
5,#BTS_Butter,http://twitter.com/search?q=%23BTS_Butter,,%23BTS_Butter,1279120.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
6,RADHE ARRIVES IN 10 DAYS,http://twitter.com/search?q=%22RADHE+ARRIVES+IN+10+DAYS%22,,%22RADHE+ARRIVES+IN+10+DAYS%22,25263.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
7,jungkook,http://twitter.com/search?q=jungkook,,jungkook,685970.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
8,I Demand,http://twitter.com/search?q=%22I+Demand%22,,%22I+Demand%22,20079.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
9,अमित शाह,http://twitter.com/search?q=%22%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%A4+%E0%A4%B6%E0%A4%BE%E0%A4%B9%22,,%22%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%A4+%E0%A4%B6%E0%A4%BE%E0%A4%B9%22,182829.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
10,Asad,http://twitter.com/search?q=Asad,,Asad,12701.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
11,सोती सरकार,http://twitter.com/search?q=%22%E0%A4%B8%E0%A5%8B%E0%A4%A4%E0%A5%80+%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0%22,,%22%E0%A4%B8%E0%A5%8B%E0%A4%A4%E0%A5%80+%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0%22,10465.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
12,CBI KNOWS WHO KILLED SUSHANT,http://twitter.com/search?q=%22CBI+KNOWS+WHO+KILLED+SUSHANT%22,,%22CBI+KNOWS+WHO+KILLED+SUSHANT%22,147076.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
13,Wakanda Forever,http://twitter.com/search?q=%22Wakanda+Forever%22,,%22Wakanda+Forever%22,65010.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
14,Kim Namjoon,http://twitter.com/search?q=%22Kim+Namjoon%22,,%22Kim+Namjoon%22,56806.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
15,Impose,http://twitter.com/search?q=Impose,,Impose,25594.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
16,CT-Scan,http://twitter.com/search?q=CT-Scan,,CT-Scan,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
17,Welcome to India,http://twitter.com/search?q=%22Welcome+to+India%22,,%22Welcome+to+India%22,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
18,Nadda,http://twitter.com/search?q=Nadda,,Nadda,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
19,Bhutan,http://twitter.com/search?q=Bhutan,,Bhutan,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
20,Idea of India,http://twitter.com/search?q=%22Idea+of+India%22,,%22Idea+of+India%22,19113.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
21,PRETTIEST,http://twitter.com/search?q=PRETTIEST,,PRETTIEST,68680.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
22,Customs,http://twitter.com/search?q=Customs,,Customs,22455.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
23,Home Minister,http://twitter.com/search?q=%22Home+Minister%22,,%22Home+Minister%22,12551.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
24,Governor,http://twitter.com/search?q=Governor,,Governor,68592.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
25,CRPF,http://twitter.com/search?q=CRPF,,CRPF,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
26,Nobel,http://twitter.com/search?q=Nobel,,Nobel,20615.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
27,ABVP,http://twitter.com/search?q=ABVP,,ABVP,10778.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
28,BCCI,http://twitter.com/search?q=BCCI,,BCCI,20563.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
29,MBBS,http://twitter.com/search?q=MBBS,,MBBS,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
30,Purple,http://twitter.com/search?q=Purple,,Purple,205169.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
31,Imam Ali,http://twitter.com/search?q=%22Imam+Ali%22,,%22Imam+Ali%22,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
32,igst,http://twitter.com/search?q=igst,,igst,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
33,#JusticeForBengalBJPKarykarta,http://twitter.com/search?q=%23JusticeForBengalBJPKarykarta,,%23JusticeForBengalBJPKarykarta,43883.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
34,#BringBackWarner,http://twitter.com/search?q=%23BringBackWarner,,%23BringBackWarner,96767.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
35,#ARSD,http://twitter.com/search?q=%23ARSD,,%23ARSD,314545.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
36,#ARMYSelcaDay,http://twitter.com/search?q=%23ARMYSelcaDay,,%23ARMYSelcaDay,303650.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
37,#HBDMassGodVenuSriram,http://twitter.com/search?q=%23HBDMassGodVenuSriram,,%23HBDMassGodVenuSriram,79358.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
38,#tmcgoons,http://twitter.com/search?q=%23tmcgoons,,%23tmcgoons,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
39,#NoWarnerNoSRH,http://twitter.com/search?q=%23NoWarnerNoSRH,,%23NoWarnerNoSRH,19566.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
40,#MeditationToRaiseWillPower,http://twitter.com/search?q=%23MeditationToRaiseWillPower,,%23MeditationToRaiseWillPower,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
41,#KeyToAllProblems,http://twitter.com/search?q=%23KeyToAllProblems,,%23KeyToAllProblems,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
42,#MethodOfMeditation,http://twitter.com/search?q=%23MethodOfMeditation,,%23MethodOfMeditation,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
43,#savebjpkaryakartas,http://twitter.com/search?q=%23savebjpkaryakartas,,%23savebjpkaryakartas,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
44,#KeyToHappiness,http://twitter.com/search?q=%23KeyToHappiness,,%23KeyToHappiness,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
45,#BengalBurning,http://twitter.com/search?q=%23BengalBurning,,%23BengalBurning,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
46,#HappinessMantra,http://twitter.com/search?q=%23HappinessMantra,,%23HappinessMantra,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
47,#MeditationForHappyLife,http://twitter.com/search?q=%23MeditationForHappyLife,,%23MeditationForHappyLife,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
48,#Eternals,http://twitter.com/search?q=%23Eternals,,%23Eternals,16901.0,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
49,#SaintRamRahimJi,http://twitter.com/search?q=%23SaintRamRahimJi,,%23SaintRamRahimJi,,India,IN,2021-05-03T16:30:06Z,2021-05-03T02:22:25Z
50,#방탄소년단,http://twitter.com/search?q=%23%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8,,%23%EB%B0%A9%ED%83%84%EC%86%8C%EB%85%84%EB%8B%A8,1058138.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
51,#PresidentRuleInBengal,http://twitter.com/search?q=%23PresidentRuleInBengal,,%23PresidentRuleInBengal,79150.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
52,#2ndTasteOfButter,http://twitter.com/search?q=%232ndTasteOfButter,,%232ndTasteOfButter,675957.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
53,#नींद_से_जागो_अमित_शाह_जी,http://twitter.com/search?q=%23%E0%A4%A8%E0%A5%80%E0%A4%82%E0%A4%A6_%E0%A4%B8%E0%A5%87_%E0%A4%9C%E0%A4%BE%E0%A4%97%E0%A5%8B_%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%A4_%E0%A4%B6%E0%A4%BE%E0%A4%B9_%E0%A4%9C%E0%A5%80,,%23%E0%A4%A8%E0%A5%80%E0%A4%82%E0%A4%A6_%E0%A4%B8%E0%A5%87_%E0%A4%9C%E0%A4%BE%E0%A4%97%E0%A5%8B_%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%A4_%E0%A4%B6%E0%A4%BE%E0%A4%B9_%E0%A4%9C%E0%A5%80,158736.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
54,#BengalViolence,http://twitter.com/search?q=%23BengalViolence,,%23BengalViolence,14459.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
55,Sushant Hope Of Humanity,http://twitter.com/search?q=%22Sushant+Hope+Of+Humanity%22,,%22Sushant+Hope+Of+Humanity%22,19798.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
56,RADHE ARRIVES IN 10 DAYS,http://twitter.com/search?q=%22RADHE+ARRIVES+IN+10+DAYS%22,,%22RADHE+ARRIVES+IN+10+DAYS%22,25263.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
57,jungkook,http://twitter.com/search?q=jungkook,,jungkook,686641.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
58,I Demand,http://twitter.com/search?q=%22I+Demand%22,,%22I+Demand%22,20079.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
59,अमित शाह,http://twitter.com/search?q=%22%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%A4+%E0%A4%B6%E0%A4%BE%E0%A4%B9%22,,%22%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%A4+%E0%A4%B6%E0%A4%BE%E0%A4%B9%22,182829.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
60,Asad,http://twitter.com/search?q=Asad,,Asad,12701.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
61,सोती सरकार,http://twitter.com/search?q=%22%E0%A4%B8%E0%A5%8B%E0%A4%A4%E0%A5%80+%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0%22,,%22%E0%A4%B8%E0%A5%8B%E0%A4%A4%E0%A5%80+%E0%A4%B8%E0%A4%B0%E0%A4%95%E0%A4%BE%E0%A4%B0%22,10482.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
62,CBI KNOWS WHO KILLED SUSHANT,http://twitter.com/search?q=%22CBI+KNOWS+WHO+KILLED+SUSHANT%22,,%22CBI+KNOWS+WHO+KILLED+SUSHANT%22,147056.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
63,Wakanda Forever,http://twitter.com/search?q=%22Wakanda+Forever%22,,%22Wakanda+Forever%22,65010.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
64,Kim Namjoon,http://twitter.com/search?q=%22Kim+Namjoon%22,,%22Kim+Namjoon%22,56746.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
65,Impose,http://twitter.com/search?q=Impose,,Impose,25594.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
66,CT-Scan,http://twitter.com/search?q=CT-Scan,,CT-Scan,,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
67,Welcome to India,http://twitter.com/search?q=%22Welcome+to+India%22,,%22Welcome+to+India%22,,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
68,Nadda,http://twitter.com/search?q=Nadda,,Nadda,,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
69,Bhutan,http://twitter.com/search?q=Bhutan,,Bhutan,,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
70,Idea of India,http://twitter.com/search?q=%22Idea+of+India%22,,%22Idea+of+India%22,19113.0,Mumbai,IN,2021-05-03T16:30:07Z,2021-05-03T01:52:52Z
